Account ID,Account Name,Segment,Package,CSM,Interview Date,Active today,Amenity gap detector,Calendar block monitor,Calendar conflict detector,Check-in readiness,Cleaning conflict detector,Commitment keeper,Daily task coverage board,Inquiry expiry manager,Maintenance block agent,Maintenance tracker,Reservation duplicate detector,Reservation handoff brief,Reservation readiness surfacer,Review to task dispatcher,Risky reservation detector,Stay status reconciler,Team access review,Translation gap filler,Vacancy task detector,Weekly Operation Brief,Negative review challenger,Review response drafter,Saved replies optimizer,Checkout balance collection,Fee configuration detector,Security deposit extender,Tax Configuration Audit,Unpaid reservation tracker,Advance deposit checker,Monthly cancelled reservations,Listing Ownership Gap Finder,Owner payment details collector,Airbnb quality detector,# Active
68ae49d7c3307ffd38a1c25c,Penthouse 9 Corporation,Mid-Market,pro,Benjamin Lockard,,true,V,,V,V,,V,V,V,,V,V,V,,V,V,V,V,V,,V,V,V,V,,V,V,V,V,V,V,,,,24
667e7783b9fa45b28b1add33,Marone Management Kft.,Mid-Market,pro,Carla Scimia,,true,V,,V,,,,,,,,,,,V,,,,,,V,V,,V,,,,,,,,,,,6
67ab1db45e080b23fd369637,Maria Jose Perez,SMB,pro,Guesty Support,,true,,,,V,,,,,,V,,V,,,V,,,,,,,,,,,,,V,,,,,,5
60129a280d6c74003082c75c,QF Living Ltd.,Mid-Market,pro,Mattia Peressini,,true,,,V,,,V,,V,,V,,,,,V,,,V,,,V,V,,,,,,V,,,,,,9
622728f1e729f7003530a929,Equity Residences,Mid-Market,pro,Oscar Nomura,,true,,,,OFF,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,1
686fb07b6376a7987b6c1618,SONN'IDYLL Retreats e.G.,SMB,pro,Giorgia Ruocci,,true,,,OFF,OFF,,,,V,,,,,,,,,,V,,,OFF,OFF,OFF,,,,,V,,,,,,3
68b07ca02302dce34a4ade51,ANANA HOMES,SMB,pro,Tatiana Del Rosario,,true,,,,,,,,,,,,,,,V,,,,,,,,,,,,,OFF,,,,,,1
6542c4e210675435b7246225,Bungalow Solutions LLC,SME,pro,Juan Viana,,true,OFF,,V,OFF,,V,OFF,OFF,,,,OFF,,V,OFF,,,V,,OFF,V,V,V,,OFF,,,OFF,OFF,OFF,,,,7
6512ec7058d8d49adbb30b06,Going Coastal Property Management,SME,pro,Benjamin Lockard,,true,,,,OFF,,,,,,,,,,,,,,,,,V,,,,,,,,V,V,,,,3
5d5c49b7ef0315001f6ee607,Portoro Homes,Enterprise,enterprise,Daniela Collazo,,true,,,V,V,,V,,V,,,V,V,,V,V,,,,,,V,V,,,,,V,V,V,V,,,,14
652fda962c12214e3195d48a,Nook Stays,Mid-Market,pro,Carla Scimia,,true,,,,,,,,,,V,V,,,,V,,,,,,,,,,,,,,,,,,,3
6033f7b0ae5e6f002fd51303,Hallson Hospitality Co.,SME,pro,Alexandra Laframboise,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,V,,,,2
675577572b8de62488c9fb72,Luxstay,Mid-Market,pro,Steven Brumwell,,true,V,,,V,,,,V,,,V,V,,,V,V,V,V,,V,V,V,V,,,V,V,V,,,,V,,17
5f3a7d87949020002db896dc,Curated Property,Mid-Market,pro,Jay Taylor,,true,V,,V,,,V,,V,,,,,,V,V,,,,,,V,V,V,,,,,V,,,,,,10
69e0cac684f30b81799ba699,BMG NICE CONCIERGERIE,Mid-Market,pro,Steven Brumwell,,true,,,,,,,,,,,,,,,,,,V,,,V,,,,,,,,,,,,,2
67af4c9c5b4426a330040187,EnjoyApartments,Mid-Market,pro,Mattia Peressini,,true,,,,V,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6a270d0f4b2eed6c34919d5f,Luxury Getaways,Mid-Market,pro,Tove May,,true,V,,V,V,,V,V,V,,,V,,,,V,,,V,,V,V,V,V,,V,,V,V,,V,,V,V,19
68017d44259cbcdbc6e8c5c3,Lark Mountain Properties,Mid-Market,pro,Matthew Bonasera,,true,V,,V,,,V,,,,,,,,,V,,,V,,V,V,V,V,,,,V,V,,V,,,,12
69bd58ec4a4da1c92d8bc402,VOL HOSTING,SME,pro,Matthew Bonasera,,true,,,,OFF,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,1
68c99f2a467ac68da2e58296,Sea Coast Rentals,SME,pro,Tatiana Figueroa,,true,,,,,,,,,,V,,,,,,V,V,,,V,,,V,,V,,V,V,,V,,,,9
68b8480d5ae37cf73089f796,LOKA,SMB,pro,Ander Vicente,,true,,,,,,V,,,,,,,,,V,,,,,,,,,,,,,,,,,,,2
678923670560667fb69d98b7,Snowbasin Vacation Rentals and Powder Mountain Vacation Rentals,Mid-Market,pro,Zafar Khan,,true,V,,,V,,V,,V,,,V,,,,V,,,,,,V,,,,,,,V,,,,,,8
66fc5dfaf36f17e56f3fe426,PMI Breck,Mid-Market,pro,Tove May,,true,V,,,OFF,,,,V,,,,,,V,V,V,,V,,V,V,V,V,,V,,,V,,V,,V,,14
67698db4309e10ff8a2b748a,Easilets Limited,Mid-Market,pro,Joaquin Benitez,,true,V,,V,,,V,,V,,,,V,,,V,,V,,,,V,,V,,,,,,,,,,,9
67743591892a35ba99f8ca84,Fresh Start Property Management,SMB,pro,Guesty Support,,true,V,,,V,,,V,,,V,,,,,,,,,,V,V,,,,,,,,,,,V,,7
69f17a1b4b8dbace6132d6d9,Mingo Canas,SMB,pro,Guesty Support,,true,V,,V,V,,V,,V,,,V,,,,V,,,V,,,V,,V,,V,V,,V,,,,V,,14
696e0505b558d35d8ff05dbe,Salt & City Stays,Mid-Market,pro,Ayman Hazm,,true,V,,,,,V,,,,,,V,,,,,,,,,V,,,,,,,,,,,,V,5
6811a82943c69c248b3fcb2b,WowStay,Mid-Market,pro,Sharine Duran,,true,,,,,,,,V,,,,,,,,,,,,,,,,,,,,V,,,,,,2
672a28cdbe4aa729794a5910,Stay in Iceland,SMB,pro,Giorgia Ruocci,,true,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
68d6d384455d7fda436118ca,Scenic Stays,Enterprise,enterprise,Tatiana Figueroa,,true,V,,V,OFF,,V,,OFF,,,V,,,,V,,,V,,,V,,,,V,,,V,V,V,,,,11
644296ae8062130039e4a8f9,Virtual Homes Realty,Mid-Market,pro,Tove May,,true,V,,V,V,,V,V,V,,V,V,,,V,V,,,V,,V,V,V,V,,V,,,V,,V,,,,18
655346f4ac25e87d1056b160,Stay Homy,Mid-Market,pro,Rafael Merchán,,true,,,,OFF,,,,,,,,,,,V,,V,V,,V,V,,,,,,,,,,,,,5
698643d7c43dd1a712877d97,Wilder Waters Vacation Rental Management Inc,Mid-Market,pro,Francine Boateng,,true,V,,V,V,,,V,,,V,,,,,,,,,,V,,V,,,,,,,,,,,,7
67f01c8f48a9aa094fae1a6a,William Andrade,SMB,pro,Guesty Support,,true,V,,V,V,,V,V,,,V,,V,,V,V,V,,,,V,V,V,V,V,V,V,V,V,V,V,,V,V,23
694ad57b5746ac96c0eb4e07,Residentas PT,Mid-Market,pro,Rafael Merchán,,true,,,,,,,,,,,,,,,,,,V,,,V,V,V,,,,,V,,,,,,5
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,SME,pro,Cameron Gray,,true,V,,,,,V,,,,,,,V,V,V,,,,,V,V,,,,,,V,,,,,,,8
65e11cec79b43b53e1af5c81,Synergy Rental Group,Mid-Market,pro,Diana Chalita,,true,,,,,,,,,,,,,,,,V,,,,,,,,,V,,,,,,,,,2
6994ba6006158b9341e7e0a2,Marisol & Co. Hospitality Group,Mid-Market,pro,Francine Boateng,,true,,,,,,,,,,V,,,,,,,,,,,V,V,,,,,V,,,,,V,,5
662c7b0c713d3ca356f497cb,Freedom Vacation Rentals,Mid-Market,pro,Oscar Nomura,,true,,,V,OFF,,V,V,,,V,V,V,,,,,V,V,,V,V,V,V,,,,,V,V,,,,,14
6691731ff6abdb39ff57bbc6,DreamStay Vacation Rentals,Mid-Market,pro,Ana Loera,,true,V,,V,,,V,V,V,,V,V,,,,V,,V,,,,V,V,,,,,,,,V,,,,12
633ce6133627590032806db7,Premier Vacation Stays,Mid-Market,pro,Enjoli Mitchell,,true,,,,,,,,V,,,V,,,,V,V,,,,V,V,V,,,,,V,,,,,,,8
67b793cf40e1ed4a6dae237e,South Padre Island Trips,Mid-Market,pro,Stacy Wesson,,true,V,,V,V,,V,V,,,,V,,,,V,,V,V,,V,V,,,,V,,,V,V,,,,V,15
675088ce3780f3a8abe636d7,SMART HOST VACATION HOME RENTAL L.L.C.,Mid-Market,pro,Ayman Hazm,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,V,V,V,,,,,3
6639b053af65b5a61d2cec4c,Clifton Partners Property,Mid-Market,pro,Zoe Jiang,,true,V,,,OFF,,V,V,V,,,V,V,,V,V,,V,V,,V,V,V,V,V,,V,V,V,,,,V,V,20
66d07cd5f48715e4ecea2688,Vivendos Homes SL,SMB,pro,Ander Vicente,,true,V,,V,,,,,,,,V,,,V,V,,V,,,,V,V,V,,,,,,,,,,V,10
693fe0317e1715aa98c354f6,Ilic Corporation,SMB,pro,Courtney Trow,,true,V,,V,,,,,,,,,,,,V,,,,,,V,,,,,,,,,,,,V,5
68cbee25467ac68da2e582a7,Nordic Guest AB,SMB,pro,Giorgia Ruocci,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,1
69e250520f8cce78dc112886,Vacant Nests,Mid-Market,pro,,,true,,,,,,,,,,,,,,,,,,,,V,V,,,,,,,V,,,,,V,4
63f77f4e7e251b0030c1464a,Cloud9,Mid-Market,pro,Matthew Bonasera,,true,V,,V,V,,V,,V,,,,,,,V,,V,V,,V,V,V,V,,V,V,,,,V,,,V,16
68dbf54b455d7fda43611a1a,Golden Isles Retreats,Mid-Market,pro,Josue Paredes,,true,,,,,,V,,V,,,,,,,V,,,,,V,V,V,V,,,,V,V,,,,,V,10
65351c644892a1c2b05f9e34,AIR MGMT,SME,pro,Benjamin Lockard,,true,V,,V,,,V,,V,,V,,,,V,V,V,,,,V,V,V,,,,,,V,,,,,V,13
6840ab56ca0d576ff1aa1e3a,UAB Domillion,Mid-Market,pro,Francesca Pastore,,true,,,,,,,,,,,,,,,,,,V,,V,,,,,,,,V,,,,,,3
65fbdfd0d916089814834489,Praia Villas,Mid-Market,pro,Rebecca Virgin,,true,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,2
660583ed73200f683ecf3134,OutpostX,Mid-Market,pro,Diana Chalita,,true,,,V,V,,V,,,,,,,,,,V,,V,,V,,,,,,,,V,,,,,,7
685065549bf7f8c07ec24d1f,Coast to Coast Connections,SMB,pro,Tatiana Del Rosario,,true,,,V,V,,V,V,V,,V,,V,,V,V,,,V,,V,V,V,,V,,,V,V,V,V,,V,V,20
6862ebb9b12c774daba25021,Royal Vista Vacations Homes Co. LLC,Mid-Market,pro,Ayman Hazm,,true,,,,V,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
68890ecea14c863e5df1290d,KSN Real Estate,SMB,pro,Dana Evans,,true,V,,V,V,,V,,,,,V,V,,,,,V,,,,V,V,V,V,V,,,V,V,,,V,V,16
6350a5240e693e0030bf2c4e,Peachy Properties,Mid-Market,pro,Rebecca Virgin,,true,,,,,,V,,,,,,,,,V,,,,,,V,,V,,,V,,,,V,,,V,7
66885058f6abdb39ff57b9a9,Nestoria Estates Inc.,Mid-Market,pro,Carlos Villarreal,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,1
668f4d5b3a1924cbf20ceb9b,NextGen Furnished Rentals LLC,Mid-Market,pro,Francine Boateng,,true,V,,,,,V,,V,,V,V,V,,V,V,,,,,V,V,V,V,,V,,V,,,,,,V,15
63cfe630ecbfb30039426da8,Maxwell Residences,Mid-Market,pro,Benjamin Lockard,,true,,,,OFF,,OFF,,,,OFF,,OFF,,V,OFF,,,,,V,,,,,,V,,V,,,,,,4
693592c67e6de65e769be230,Weston Holidays,SMB,pro,Daniel Sanchez,,true,V,,V,OFF,,V,V,,,V,,V,,V,V,,,,,V,V,V,V,,,,,,,,,,V,13
67d362f57468c0a23a0281f5,Stay Portland,SME,pro,Stacy Wesson,,true,V,,,,,V,,,,,,,,,,,,,,,V,V,,,,,,,,,,,,4
654656eac66d810b8ce078ac,"Martinek Management, Inc.",Mid-Market,pro,Carlos Villarreal,,true,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,1
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,SMB,pro,Mattia Peressini,,true,,,,,,,,,,,,,,V,V,,,V,,,V,V,V,,,,,V,,,,,,7
69f45411a36ffdd106868926,5starbalivilla,Mid-Market,pro,Zoe Jiang,,true,,,V,,,V,,,,,V,,,,,,,V,,,,V,,,,,,,,,,,,5
5db6c592bba9f4001f7d610f,EASY BNB GmbH,SME,pro,Joaquin Benitez,,true,,,V,,,,,,,,,V,,V,V,,,V,,,OFF,V,,,,,,,,,,,,6
692739cf51ad620fe8272e74,Fripp Island Golf & Beach Resort,SME,pro,Cameron Gray,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,1
6601f8d2c9d2b0a68e714a68,"Navigate Stays, Inc.",SME,pro,Audrey Puylaert,,true,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,1
5db0a5a602bcef001fed7da1,GreatStay,Mid-Market,pro,Mattia Peressini,,true,,,,,,,,,,,,,,OFF,,,,,,,,V,,,,,,,,,,,,1
5cf3120c0f6abc001ff04f2e,Hello Host,Mid-Market,pro,Rebecca Virgin,,true,,,V,,,,,V,,,,,,V,V,,,,,,V,V,,,,,,V,,,,,,7
63991db67ee89b004e196515,Soulfull Stayz,SMB,pro,Rebecca Virgin,,true,,,V,,,,,V,,,,,,,V,,,,,,,,,,,,,V,,,,OFF,,4
573b8b688e31d30e0035418f,Bijou Getaways,Mid-Market,pro,Alexandra Laframboise,,true,,,,,,,,V,,,,,,,V,,,,,,V,V,,,,,,V,,,,,,5
66e0538243d84c7d87fb527f,emiliano Sofia,SMB,pro,Ander Vicente,,true,,,,,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,1
66f1a8e388a5fce1e7b84e47,Guesty Trial Account 4,SMB,pro,,,true,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,1
669fd4375db8ecdd6b7e2916,Angelo Sturzebecher,SMB,pro,Guesty Support,,false,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,,,,,,,0
